ID,URL,TIME,SIZE
1,/segment_360p_1.m4s,1638748825176,202182
2,/segment_360p_2.m4s,1638748828829,181391
3,/segment_360p_3.m4s,1638748831897,190757
4,/segment_360p_4.m4s,1638748835058,225696
5,/segment_360p_5.m4s,1638748839072,173657
7,/segment_360p_7.m4s,1638748851353,253476
9,/segment_360p_9.m4s,1638748865706,257385
12,/segment_360p_12.m4s,1638748890545,320189
15,/segment_360p_15.m4s,1638748916340,286016
18,/segment_360p_18.m4s,1638748939429,233176
21,/segment_360p_21.m4s,1638748958455,256705
24,/segment_360p_24.m4s,1638748979655,342751
27,/segment_360p_27.m4s,1638749004583,299669
30,/segment_360p_30.m4s,1638749028706,344337
33,/segment_360p_33.m4s,1638749054522,297474
36,/segment_360p_36.m4s,1638749079497,198909
39,/segment_360p_39.m4s,1638749091579,151317
42,/segment_360p_42.m4s,1638749100286,234119
45,/segment_360p_45.m4s,1638749118329,158692
48,/segment_360p_48.m4s,1638749132944,193470
51,/segment_360p_51.m4s,1638749151010,168431
54,/segment_360p_54.m4s,1638749166020,124082
